2019-03-02 02:05:50,329 [I] 	(at main.py:29) 
2019-03-02 02:05:50,551 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,551 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,551 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,588 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,589 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,589 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,589 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,605 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,605 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,620 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,621 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,621 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,637 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,654 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,654 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,671 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,671 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,671 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,687 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,687 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,688 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,688 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,736 [D] -:P:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,752 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,752 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,767 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,767 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,767 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,802 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,817 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,818 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,832 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,833 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,833 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,849 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,865 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,865 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,880 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,880 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,880 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,895 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:50,896 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,896 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,896 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,145 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  1133 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  1135 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\n'	(at ex_script.py:45) 
2019-03-02 02:05:51,146 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:51,197 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,198 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:51,198 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,212 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,213 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:51,213 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,213 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,229 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,229 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,246 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,246 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,246 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,283 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,283 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,283 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,283 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,299 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,300 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,315 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,315 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,315 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,330 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,331 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:51,331 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,331 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,346 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,346 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,362 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,363 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,363 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,378 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,379 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:51,379 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,379 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:51,394 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,394 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,409 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,410 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,410 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:51,424 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,424 [D] ┌:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:51,424 [D] |:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:51,424 [D] └:F:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:51,476 [D] -:P:n:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:51,494 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,495 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:51,510 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,511 [D] ┌:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:51,511 [D] └:F:n:WD_2:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:51,551 [D] ┌:P:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:51,551 [D] |:P:c:WD_3:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:51,551 [D] └:P:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:51,551 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:51,551 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:51,601 [D] -:P:n:WD_1:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:51,616 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,616 [D] -:F:n:WD_1:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:51,630 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,631 [D] ┌:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:51,631 [D] └:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:51,646 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,646 [D] ┌:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:51,646 [D] |:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:51,646 [D] └:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:51,685 [D] -:P:c:WD_1:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:51,701 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,701 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:51,715 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,716 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:51,716 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:51,752 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,752 [D] ┌:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:51,752 [D] |:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:51,752 [D] └:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,767 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,767 [D] -:F:n:WD_1:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:51,782 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,782 [D] ┌:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:51,782 [D] └:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,797 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,797 [D] ┌:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:51,797 [D] |:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,797 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,814 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,814 [D] -:F:n:WD_1:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,829 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,830 [D] ┌:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,830 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,846 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,846 [D] ┌:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:51,846 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,846 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:51,862 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,862 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,879 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,880 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,880 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:51,896 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:51,896 [D] ┌:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:51,896 [D] |:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:51,896 [D] └:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,246 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  1429 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  1431 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  1433 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:52,246 [D] -:C:n:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:52,321 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,321 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:52,321 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,346 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,346 [D] ┌:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:52,346 [D] |:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,347 [D] └:F:n:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:52,362 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,362 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,378 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,378 [D] ┌:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,378 [D] └:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:52,415 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:52,415 [D] |:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:52,415 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:52,450 [D] -:P:c:WD_1:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:52,466 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,466 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:52,481 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,481 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:52,481 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:52,633 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 21:  1493 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:52,633 [D] ┌:C:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:52,633 [D] |:C:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:52,633 [D] └:C:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,735 [D] -:C:n:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:52,752 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,752 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:52,752 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,768 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,768 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:52,769 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,769 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:52,786 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,787 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,802 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,803 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,803 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:52,849 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:52,850 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:52,850 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:52,850 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,215 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  1551 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  1555 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  1558 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:53,216 [D] -:C:n:WD_1:mug.c:32	(at logger.py:129) 
