2019-02-12 22:32:27,762 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:32:28,066 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 22:32:28,082 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,097 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,097 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:28,112 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:32:28,112 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:28,112 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,161 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:28,176 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:28,176 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,192 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:32:28,192 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,193 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,208 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,223 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,223 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,259 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:32:28,259 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,259 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,279 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,295 [D] ┌:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,295 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,313 [D] ┌:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:32:28,313 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,313 [D] └:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,313 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 22:32:28,328 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,343 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,343 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,360 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:32:28,360 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,360 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,407 [D] -:C:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,422 [D] ┌:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,422 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,438 [D] ┌:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:32:28,438 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,438 [D] └:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,454 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,471 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,471 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,511 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:32:28,511 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,512 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,526 [D] -:F:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,542 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,542 [D] └:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,557 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:32:28,557 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,557 [D] └:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 22:32:28,557 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 22:32:28,573 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,589 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,589 [D] └:F:n:WD_2:mbe.c:58	(at logger.py:129) 
2019-02-12 22:32:28,605 [D] ┌:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:32:28,605 [D] |:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 22:32:28,605 [D] └:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:32:28,654 [D] -:P:n:WD_1:mbe.c:58	(at logger.py:129) 
2019-02-12 22:32:28,654 [D]  : : :pass:mbe.c:57	(at logger.py:129) 
2019-02-12 22:32:28,670 [D] -:F:n:WD_1:mbe.c:56	(at logger.py:129) 
2019-02-12 22:32:28,685 [D] ┌:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 22:32:28,685 [D] └:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 22:32:28,701 [D] ┌:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:32:28,701 [D] |:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 22:32:28,701 [D] └:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,748 [D] -:C:n:WD_1:mbe.c:55	(at logger.py:129) 
2019-02-12 22:32:28,764 [D] ┌:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 22:32:28,764 [D] └:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,786 [D] ┌:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 22:32:28,786 [D] |:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,786 [D] └:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:28,802 [D] -:F:n:WD_1:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,819 [D] ┌:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,819 [D] └:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:28,834 [D] ┌:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:32:28,834 [D] |:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:28,834 [D] └:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,876 [D] -:C:n:WD_1:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:29,889 [D] ┌:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:29,889 [D] └:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,905 [D] ┌:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:32:29,905 [D] |:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,905 [D] └:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:29,921 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,938 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,938 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:29,954 [D] ┌:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:32:29,954 [D] |:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:29,954 [D] └:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:29,971 [D] -:F:n:WD_1:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:29,989 [D] ┌:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:29,989 [D] └:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:30,006 [D] ┌:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:32:30,006 [D] |:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:30,006 [D] └:F:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:30,006 [D]  : : :pass:mbe.c:50	(at logger.py:129) 
2019-02-12 22:32:30,027 [D] -:F:n:WD_1:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:30,041 [D] ┌:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:30,041 [D] └:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:30,055 [D] ┌:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:32:30,056 [D] |:F:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:30,056 [D] └:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:30,070 [D] -:F:n:WD_1:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:30,086 [D] ┌:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:30,086 [D] └:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:31,143 [D] ┌:C:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:32:31,143 [D] |:C:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:31,143 [D] └:C:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:31,173 [D] -:C:c:WD_1:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:31,186 [D] ┌:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:31,186 [D] └:F:n:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:31,187 [D] ┌:C:c:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:32:31,187 [D] |:C:c:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:31,187 [D] └:C:c:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:31,199 [D] -:F:n:WD_1:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:31,229 [D] ┌:C:c:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:31,229 [D] └:C:c:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:32,281 [D] ┌:C:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:32:32,281 [D] |:C:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:32,281 [D] └:C:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,281 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 22:32:32,298 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:32,315 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:32,315 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,316 [D] ┌:C:c:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:32:32,316 [D] |:C:c:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,316 [D] └:C:c:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,380 [D] -:C:n:WD_1:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,395 [D] ┌:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,395 [D] └:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,411 [D] ┌:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:32:32,411 [D] |:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,411 [D] └:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:32,427 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,443 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,443 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:32,458 [D] ┌:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:32:32,458 [D] |:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:32,458 [D] └:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:33,503 [D] -:C:n:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:34,566 [D] ┌:C:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:34,566 [D] └:C:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:34,579 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:32:34,580 [D] |:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:34,580 [D] └:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,623 [D] -:C:n:WD_1:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:34,638 [D] ┌:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:34,638 [D] └:F:n:WD_2:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,652 [D] ┌:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:32:34,652 [D] |:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,653 [D] └:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,653 [D]  : : :pass:mbe.c:39	(at logger.py:129) 
2019-02-12 22:32:34,669 [D] -:F:n:WD_1:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,683 [D] ┌:F:n:WD_2:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,683 [D] └:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,721 [D] ┌:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:32:34,721 [D] |:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,721 [D] └:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,736 [D] -:F:n:WD_1:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,751 [D] ┌:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,751 [D] └:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,767 [D] ┌:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:32:34,767 [D] |:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,767 [D] └:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,767 [D]  : : :pass:mbe.c:36	(at logger.py:129) 
2019-02-12 22:32:34,785 [D] -:F:n:WD_1:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,802 [D] ┌:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,802 [D] └:F:n:WD_2:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,818 [D] ┌:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:32:34,819 [D] |:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,819 [D] └:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,819 [D]  : : :pass:mbe.c:34	(at logger.py:129) 
2019-02-12 22:32:34,833 [D] -:F:n:WD_1:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,848 [D] ┌:F:n:WD_2:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,848 [D] └:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,863 [D] ┌:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:32:34,863 [D] |:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,863 [D] └:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:34,879 [D] -:F:n:WD_1:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,895 [D] ┌:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,895 [D] └:F:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:34,910 [D] ┌:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:32:34,910 [D] |:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:34,910 [D] └:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:35,953 [D] -:C:n:WD_1:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:37,012 [D] ┌:C:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:37,012 [D] └:C:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:37,031 [D] ┌:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:32:37,032 [D] |:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:37,032 [D] └:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:37,090 [D] -:C:n:WD_1:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:37,106 [D] ┌:F:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:37,106 [D] └:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:37,121 [D] ┌:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:32:37,121 [D] |:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:37,121 [D] └:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:37,136 [D] -:F:n:WD_1:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:37,151 [D] ┌:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:37,151 [D] └:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:38,197 [D] ┌:C:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:32:38,198 [D] |:C:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:38,198 [D] └:C:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,255 [D] -:C:n:WD_1:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:38,275 [D] ┌:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:38,275 [D] └:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,295 [D] ┌:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:32:38,295 [D] |:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,295 [D] └:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:38,313 [D] -:F:n:WD_1:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,330 [D] ┌:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,330 [D] └:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:38,345 [D] ┌:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:32:38,345 [D] |:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:38,345 [D] └:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,388 [D] -:C:n:WD_1:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:39,402 [D] ┌:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:39,402 [D] └:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,415 [D] ┌:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:32:39,416 [D] |:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,416 [D] └:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,432 [D] -:F:n:WD_1:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,447 [D] ┌:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,447 [D] └:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,462 [D] ┌:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:32:39,462 [D] |:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,462 [D] └:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,479 [D] -:F:n:WD_1:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,495 [D] ┌:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,495 [D] └:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,517 [D] ┌:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:32:39,518 [D] |:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,518 [D] └:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,532 [D] -:F:n:WD_1:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,546 [D] ┌:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,546 [D] └:F:n:WD_2:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,560 [D] ┌:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:32:39,560 [D] |:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,560 [D] └:F:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,618 [D] -:C:n:WD_1:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,667 [D] ┌:C:n:WD_2:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,667 [D] └:C:n:WD_2:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,713 [D] ┌:C:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:32:39,713 [D] |:C:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,713 [D] └:C:n:WD_3:mbe.c:19	(at logger.py:129) 
2019-02-12 22:32:39,713 [D]  : : :pass:mbe.c:21	(at logger.py:129) 
2019-02-12 22:32:39,763 [D] -:C:n:WD_1:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,819 [D] ┌:C:n:WD_2:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,819 [D] └:C:n:WD_2:mbe.c:19	(at logger.py:129) 
2019-02-12 22:32:39,834 [D] ┌:F:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:32:39,834 [D] |:F:n:WD_3:mbe.c:19	(at logger.py:129) 
2019-02-12 22:32:39,834 [D] └:F:n:WD_3:mbe.c:17	(at logger.py:129) 
2019-02-12 22:32:39,882 [D] -:C:n:WD_1:mbe.c:19	(at logger.py:129) 
2019-02-12 22:32:39,897 [D] ┌:F:n:WD_2:mbe.c:19	(at logger.py:129) 
2019-02-12 22:32:39,897 [D] └:F:n:WD_2:mbe.c:17	(at logger.py:129) 
