2019-03-02 02:05:33,256 [I] 	(at main.py:29) 
2019-03-02 02:05:33,615 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,615 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:33,631 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,631 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,646 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,647 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,647 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:33,663 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,663 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,663 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:33,663 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:33,711 [D] -:P:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:33,726 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,726 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:33,741 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,742 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:33,742 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:33,778 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,779 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:33,779 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:33,779 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,795 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,795 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:33,810 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,810 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:33,810 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,825 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,826 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:33,826 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,826 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:33,842 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,843 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,859 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,859 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,859 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:33,879 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,879 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:33,879 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:33,879 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,124 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b'execute.sh: line 9: 29364 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15: 29366 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\n'	(at ex_script.py:45) 
2019-03-02 02:05:34,124 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:34,174 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,174 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:34,174 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,202 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,202 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:34,202 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,202 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,218 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,218 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,233 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,233 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,233 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,272 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,272 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:34,273 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,273 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,289 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,289 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,307 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,307 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,307 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,323 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,324 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:34,324 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,324 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,341 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,342 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,358 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,358 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,358 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,374 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,374 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:34,374 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,374 [D] └:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:34,391 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,391 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,409 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,409 [D] ┌:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,409 [D] └:F:n:WD_2:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:34,426 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,426 [D] ┌:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:34,426 [D] |:F:n:WD_3:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:34,426 [D] └:F:n:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:34,480 [D] -:P:n:WD_1:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:34,497 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,497 [D] -:F:n:WD_1:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:34,513 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,513 [D] ┌:F:n:WD_2:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:34,513 [D] └:F:n:WD_2:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:34,549 [D] ┌:P:c:WD_3:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:34,550 [D] |:P:c:WD_3:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:34,550 [D] └:P:c:WD_3:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:34,550 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:34,550 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:34,597 [D] -:P:n:WD_1:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:34,612 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,612 [D] -:F:n:WD_1:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:34,627 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,627 [D] ┌:F:n:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:34,627 [D] └:F:n:WD_2:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:34,642 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,643 [D] ┌:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:34,643 [D] |:F:n:WD_3:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:34,643 [D] └:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:34,680 [D] -:P:c:WD_1:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:34,695 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,695 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:34,710 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,711 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:34,711 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:34,747 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,747 [D] ┌:F:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:34,747 [D] |:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:34,747 [D] └:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,762 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,762 [D] -:F:n:WD_1:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:34,777 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,777 [D] ┌:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:34,777 [D] └:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,792 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,792 [D] ┌:F:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:34,792 [D] |:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,792 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,809 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,809 [D] -:F:n:WD_1:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,825 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,826 [D] ┌:F:n:WD_2:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,826 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,842 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,843 [D] ┌:F:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:34,843 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,843 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,862 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,863 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,878 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,878 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,878 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,894 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,895 [D] ┌:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:34,895 [D] |:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,895 [D] └:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:34,940 [D] -:C:n:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,954 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,955 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,955 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:34,970 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,970 [D] ┌:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:34,970 [D] |:F:n:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:34,970 [D] └:F:n:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:34,986 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:34,986 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:35,001 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,001 [D] ┌:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:35,001 [D] └:F:n:WD_2:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:35,037 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:35,038 [D] |:C:c:WD_3:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:35,038 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:35,073 [D] -:P:c:WD_1:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:35,088 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,088 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:35,102 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,103 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:35,103 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:35,145 [D] ┌:C:n:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:35,146 [D] |:C:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:35,146 [D] └:C:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,192 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,193 [D] -:C:n:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:35,209 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,209 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:35,209 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,225 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,226 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:35,226 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,226 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,243 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,243 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,262 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,262 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,262 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,280 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,280 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:35,280 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,280 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:35,626 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b'execute.sh: line 9: 29672 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15: 29674 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21: 29676 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:35,626 [D] -:C:n:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,703 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,703 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,703 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:35,727 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:35,727 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:35,727 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
