2019-02-12 22:37:12,573 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:37:13,028 [D] └:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,077 [D] -:C:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:13,092 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:13,092 [D] └:F:n:WD_2:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,108 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:37:13,108 [D] |:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,108 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,108 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
2019-02-12 22:37:13,122 [D] -:F:n:WD_1:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,137 [D] ┌:F:n:WD_2:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,137 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,173 [D] ┌:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:37:13,173 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,173 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,188 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,204 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,204 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,219 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:37:13,219 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,219 [D] └:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,219 [D]  : : :pass:mbe.c:63	(at logger.py:129) 
2019-02-12 22:37:13,234 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,249 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,249 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,266 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:37:13,266 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,267 [D] └:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,321 [D] -:C:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,336 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,336 [D] └:F:n:WD_2:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,350 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:13,350 [D] |:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,350 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,365 [D] -:F:n:WD_1:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,380 [D] ┌:F:n:WD_2:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,380 [D] └:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,417 [D] ┌:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:13,417 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,417 [D] └:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,432 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,447 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,447 [D] └:F:n:WD_2:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,462 [D] ┌:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:13,462 [D] |:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,462 [D] └:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:13,462 [D]  : : :pass:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:13,478 [D] -:F:n:WD_1:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,495 [D] ┌:F:n:WD_2:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,495 [D] └:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:13,515 [D] ┌:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 22:37:13,515 [D] |:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:13,515 [D] └:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:13,560 [D] -:P:n:WD_1:mbe.c:56	(at logger.py:129) 
2019-02-12 22:37:13,561 [D]  : : :pass:mbe.c:55	(at logger.py:129) 
2019-02-12 22:37:13,578 [D] -:F:n:WD_1:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:13,592 [D] ┌:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:13,593 [D] └:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:13,608 [D] ┌:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 22:37:13,608 [D] |:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:13,608 [D] └:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,658 [D] -:C:n:WD_1:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:13,674 [D] ┌:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:13,674 [D] └:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,689 [D] ┌:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:13,689 [D] |:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,689 [D] └:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:13,702 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,715 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,715 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:13,730 [D] ┌:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:13,730 [D] |:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:13,730 [D] └:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,774 [D] -:C:n:WD_1:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:14,788 [D] ┌:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:14,788 [D] └:F:n:WD_2:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,805 [D] ┌:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:14,805 [D] |:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,805 [D] └:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,823 [D] -:F:n:WD_1:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,837 [D] ┌:F:n:WD_2:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,837 [D] └:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,853 [D] ┌:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:14,853 [D] |:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,853 [D] └:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,868 [D] -:F:n:WD_1:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,885 [D] ┌:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,885 [D] └:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,902 [D] ┌:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:14,902 [D] |:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,902 [D] └:F:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:14,902 [D]  : : :pass:mbe.c:48	(at logger.py:129) 
2019-02-12 22:37:14,919 [D] -:F:n:WD_1:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,936 [D] ┌:F:n:WD_2:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,936 [D] └:F:n:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:14,952 [D] ┌:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:14,952 [D] |:F:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:14,953 [D] └:F:n:WD_3:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:14,969 [D] -:F:n:WD_1:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:14,986 [D] ┌:F:n:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:14,986 [D] └:F:n:WD_2:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:15,039 [D] ┌:P:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:15,039 [D] |:P:n:WD_3:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:15,039 [D] └:P:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:15,039 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:15,039 [D]  : : :pass:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:15,039 [D]  : : :pass:mbe.c:43	(at logger.py:129) 
2019-02-12 22:37:15,055 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:15,072 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:15,072 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:15,088 [D] ┌:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:15,088 [D] |:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:15,088 [D] └:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,137 [D] -:C:n:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:15,153 [D] ┌:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:15,153 [D] └:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,168 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:15,168 [D] |:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,168 [D] └:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:15,185 [D] -:F:n:WD_1:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,201 [D] ┌:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,201 [D] └:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:15,216 [D] ┌:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:15,216 [D] |:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:15,216 [D] └:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,259 [D] -:C:n:WD_1:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:16,279 [D] ┌:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:16,279 [D] └:F:n:WD_2:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,293 [D] ┌:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:16,293 [D] |:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,293 [D] └:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,310 [D] -:F:n:WD_1:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,326 [D] ┌:F:n:WD_2:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,326 [D] └:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,358 [D] ┌:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:16,359 [D] |:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,359 [D] └:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,372 [D] -:F:n:WD_1:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,386 [D] ┌:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,386 [D] └:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,401 [D] ┌:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:16,401 [D] |:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,401 [D] └:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,401 [D]  : : :pass:mbe.c:36	(at logger.py:129) 
2019-02-12 22:37:16,416 [D] -:F:n:WD_1:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,432 [D] ┌:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,432 [D] └:F:n:WD_2:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,447 [D] ┌:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 22:37:16,448 [D] |:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,448 [D] └:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,448 [D]  : : :pass:mbe.c:34	(at logger.py:129) 
2019-02-12 22:37:16,462 [D] -:F:n:WD_1:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,479 [D] ┌:F:n:WD_2:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,479 [D] └:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,496 [D] ┌:F:n:WD_3:mbe.c:33	(at logger.py:129) 
2019-02-12 22:37:16,496 [D] |:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,496 [D] └:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:16,518 [D] -:F:n:WD_1:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,533 [D] ┌:F:n:WD_2:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,533 [D] └:F:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:16,548 [D] ┌:F:n:WD_3:mbe.c:32	(at logger.py:129) 
2019-02-12 22:37:16,548 [D] |:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:16,548 [D] └:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:17,604 [D] -:C:n:WD_1:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:18,658 [D] ┌:C:n:WD_2:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:18,658 [D] └:C:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:18,672 [D] ┌:F:n:WD_3:mbe.c:31	(at logger.py:129) 
2019-02-12 22:37:18,672 [D] |:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:18,672 [D] └:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:18,718 [D] -:C:n:WD_1:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:18,732 [D] ┌:F:n:WD_2:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:18,732 [D] └:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:18,747 [D] ┌:F:n:WD_3:mbe.c:30	(at logger.py:129) 
2019-02-12 22:37:18,747 [D] |:F:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:18,747 [D] └:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:18,763 [D] -:F:n:WD_1:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:18,783 [D] ┌:F:n:WD_2:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:18,783 [D] └:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:19,829 [D] ┌:C:n:WD_3:mbe.c:29	(at logger.py:129) 
2019-02-12 22:37:19,829 [D] |:C:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:19,830 [D] └:C:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,876 [D] -:C:n:WD_1:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:19,890 [D] ┌:F:n:WD_2:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:19,891 [D] └:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,906 [D] ┌:F:n:WD_3:mbe.c:28	(at logger.py:129) 
2019-02-12 22:37:19,906 [D] |:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,906 [D] └:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:19,921 [D] -:F:n:WD_1:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,938 [D] ┌:F:n:WD_2:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,938 [D] └:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:19,954 [D] ┌:F:n:WD_3:mbe.c:27	(at logger.py:129) 
2019-02-12 22:37:19,954 [D] |:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:19,954 [D] └:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,003 [D] -:C:n:WD_1:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:21,019 [D] ┌:F:n:WD_2:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:21,020 [D] └:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,033 [D] ┌:F:n:WD_3:mbe.c:26	(at logger.py:129) 
2019-02-12 22:37:21,033 [D] |:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,033 [D] └:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,047 [D] -:F:n:WD_1:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,061 [D] ┌:F:n:WD_2:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,061 [D] └:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,079 [D] ┌:F:n:WD_3:mbe.c:25	(at logger.py:129) 
2019-02-12 22:37:21,079 [D] |:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,079 [D] └:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,094 [D] -:F:n:WD_1:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,108 [D] ┌:F:n:WD_2:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,108 [D] └:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,120 [D] ┌:F:n:WD_3:mbe.c:24	(at logger.py:129) 
2019-02-12 22:37:21,120 [D] |:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,120 [D] └:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,133 [D] -:F:n:WD_1:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,147 [D] ┌:F:n:WD_2:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,147 [D] └:F:n:WD_2:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,161 [D] ┌:F:n:WD_3:mbe.c:23	(at logger.py:129) 
2019-02-12 22:37:21,162 [D] |:F:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,162 [D] └:F:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,201 [D] -:C:n:WD_1:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,238 [D] ┌:C:n:WD_2:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,238 [D] └:C:n:WD_2:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,278 [D] ┌:C:n:WD_3:mbe.c:22	(at logger.py:129) 
2019-02-12 22:37:21,279 [D] |:C:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,279 [D] └:C:n:WD_3:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,279 [D]  : : :pass:mbe.c:21	(at logger.py:129) 
2019-02-12 22:37:21,326 [D] -:C:n:WD_1:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,365 [D] ┌:C:n:WD_2:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,365 [D] └:C:n:WD_2:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,378 [D] ┌:F:n:WD_3:mbe.c:20	(at logger.py:129) 
2019-02-12 22:37:21,378 [D] |:F:n:WD_3:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,378 [D] └:F:n:WD_3:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,420 [D] -:C:n:WD_1:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,433 [D] ┌:F:n:WD_2:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,433 [D] └:F:n:WD_2:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,447 [D] ┌:F:n:WD_3:mbe.c:19	(at logger.py:129) 
2019-02-12 22:37:21,447 [D] |:F:n:WD_3:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,447 [D] └:F:n:WD_3:mbe.c:16	(at logger.py:129) 
2019-02-12 22:37:21,447 [D]  : : :pass:mbe.c:18	(at logger.py:129) 
2019-02-12 22:37:21,462 [D] -:F:n:WD_1:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,476 [D] ┌:F:n:WD_2:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,476 [D] └:F:n:WD_2:mbe.c:16	(at logger.py:129) 
2019-02-12 22:37:21,491 [D] ┌:F:n:WD_3:mbe.c:17	(at logger.py:129) 
2019-02-12 22:37:21,491 [D] |:F:n:WD_3:mbe.c:16	(at logger.py:129) 
2019-02-12 22:37:21,491 [D] └:F:n:WD_3:mbe.c:15	(at logger.py:129) 
