2019-03-02 02:04:41,562 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:41,854 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:41,854 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,865 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:04:41,865 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,865 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:41,876 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,888 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,888 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:41,899 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:04:41,899 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:41,899 [D] └:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:41,912 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:41,944 [D] ┌:P:c:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:04:41,944 [D] └:P:c:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:04:41,944 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:04:41,945 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:04:41,956 [D] -:F:n:WD_1:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:41,967 [D] ┌:F:n:WD_2:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:41,967 [D] └:F:n:WD_2:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:42,011 [D] ┌:P:n:WD_3:mug.c:42	(at logger.py:129) 
2019-03-02 02:04:42,011 [D] |:P:n:WD_3:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:42,011 [D] └:P:n:WD_3:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:42,011 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:04:42,011 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:04:42,024 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:42,055 [D] ┌:P:c:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:04:42,055 [D] └:P:c:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:38	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:37	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:35	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:34	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:33	(at logger.py:129) 
2019-03-02 02:04:42,055 [D]  : : :pass:mug.c:32	(at logger.py:129) 
2019-03-02 02:04:42,066 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:42,077 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:42,077 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:04:42,116 [D] ┌:P:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:04:42,116 [D] |:P:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:04:42,116 [D] └:P:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:42,117 [D]  : : :pass:mug.c:30	(at logger.py:129) 
2019-03-02 02:04:42,117 [D]  : : :pass:mug.c:29	(at logger.py:129) 
2019-03-02 02:04:42,117 [D]  : : :pass:mug.c:28	(at logger.py:129) 
2019-03-02 02:04:42,127 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:42,139 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:42,139 [D] └:F:n:WD_2:mug.c:26	(at logger.py:129) 
2019-03-02 02:04:42,150 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:04:42,150 [D] |:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:04:42,150 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:04:42,193 [D] -:P:n:WD_1:mug.c:26	(at logger.py:129) 
2019-03-02 02:04:42,205 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:04:42,236 [D] ┌:P:c:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:04:42,236 [D] └:P:c:WD_2:mug.c:22	(at logger.py:129) 
2019-03-02 02:04:42,236 [D]  : : :pass:mug.c:24	(at logger.py:129) 
2019-03-02 02:04:42,236 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:04:42,236 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:04:42,236 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:04:42,247 [D] -:F:n:WD_1:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:42,259 [D] ┌:F:n:WD_2:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:42,259 [D] └:F:n:WD_2:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:42,270 [D] ┌:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:42,270 [D] |:F:n:WD_3:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:42,270 [D] └:F:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,270 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:04:42,270 [D]  : : :pass:mug.c:18	(at logger.py:129) 
2019-03-02 02:04:42,270 [D]  : : :pass:mug.c:17	(at logger.py:129) 
2019-03-02 02:04:42,311 [D] -:C:n:WD_1:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:42,352 [D] ┌:C:n:WD_2:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:42,353 [D] └:C:n:WD_2:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,384 [D] ┌:C:c:WD_3:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:42,384 [D] |:C:c:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,384 [D] └:C:c:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,425 [D] -:C:n:WD_1:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,437 [D] ┌:F:n:WD_2:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,437 [D] └:F:n:WD_2:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,447 [D] ┌:F:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:42,447 [D] |:F:n:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,447 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:42,447 [D]  : : :pass:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:42,447 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:04:42,460 [D] -:F:n:WD_1:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,472 [D] ┌:F:n:WD_2:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,472 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:42,482 [D] ┌:F:n:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:42,482 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:42,483 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:42,517 [D] -:P:c:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:42,528 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:42,540 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:42,540 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:42,551 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:42,551 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:42,551 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:04:42,562 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:42,575 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:42,575 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:04:42,575 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:42,575 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:04:42,575 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:04:42,575 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:04:42,575 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:04:42,575 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:04:42,576 [D]  : : :pass:mug.c:4	(at logger.py:129) 
2019-03-02 02:04:42,607 [D] -:P:c:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:04:42,607 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:04:42,607 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:04:42,607 [D] comp_cached_cnt:1	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] compile_cnt:54	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] execute_cnt:9	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] fail_del_cnt:4	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] iter_idx:2	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] reuse_cnt:6	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] succ_del_cnt:11	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] time:1.0548648834228516	(at logger.py:134) 
2019-03-02 02:04:42,607 [D] deletion:52	(at logger.py:136) 
