2019-02-12 21:27:36,558 [I] 	(at main.py:29) 
2019-02-12 21:27:37,017 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:37,017 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:37,017 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:37,034 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:37,034 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:37,034 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:37,034 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,075 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:38,157 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,157 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:38,157 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,389 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,389 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:38,389 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,389 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,411 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,411 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,429 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,429 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,429 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,447 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,448 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:38,448 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,448 [D] └:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:38,464 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,464 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,480 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,481 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,481 [D] └:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:38,500 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,501 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:38,501 [D] |:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:38,501 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:38,547 [D] -:P:c:WD_1:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:38,566 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,567 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:38,589 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,589 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:38,589 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:38,608 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,608 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:38,608 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:38,608 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,666 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:38,692 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,692 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:38,692 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,710 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,710 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:38,710 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,710 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,727 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,727 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,745 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,745 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,745 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,765 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,765 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:38,766 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,766 [D] └:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 21:27:38,796 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,796 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,815 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,815 [D] ┌:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,816 [D] └:F:n:WD_2:mbe.c:65	(at logger.py:129) 
2019-02-12 21:27:38,837 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,838 [D] ┌:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:38,838 [D] |:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 21:27:38,838 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:38,877 [D] -:P:c:WD_1:mbe.c:65	(at logger.py:129) 
2019-02-12 21:27:38,896 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,896 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:38,913 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,913 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:38,913 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:38,934 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:38,935 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:38,935 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:38,935 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:39,987 [D] -:C:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:40,009 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,009 [D] ┌:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:40,009 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:40,056 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,056 [D] ┌:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:40,056 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:40,056 [D] └:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,116 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,116 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:40,165 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,165 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:40,165 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,249 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,249 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:40,249 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,249 [D] └:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 21:27:40,289 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,289 [D] -:F:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,319 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,319 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,319 [D] └:F:n:WD_2:mbe.c:60	(at logger.py:129) 
2019-02-12 21:27:40,336 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,336 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:40,336 [D] |:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 21:27:40,336 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:40,373 [D] -:P:c:WD_1:mbe.c:60	(at logger.py:129) 
2019-02-12 21:27:40,389 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,389 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:40,408 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,408 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:40,408 [D] └:F:n:WD_2:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:40,426 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:40,427 [D] ┌:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:40,427 [D] |:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:40,427 [D] └:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 21:27:41,488 [D] -:C:n:WD_1:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:41,529 [D] ┌:C:c:WD_2:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:41,529 [D] └:C:c:WD_2:mbe.c:57	(at logger.py:129) 
2019-02-12 21:27:41,550 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,550 [D] ┌:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:41,550 [D] |:F:n:WD_3:mbe.c:57	(at logger.py:129) 
2019-02-12 21:27:41,550 [D] └:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:41,599 [D] -:P:c:WD_1:mbe.c:57	(at logger.py:129) 
2019-02-12 21:27:41,617 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,617 [D] -:F:n:WD_1:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:41,636 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,636 [D] ┌:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:41,636 [D] └:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:41,712 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,712 [D] ┌:C:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:41,712 [D] |:C:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:41,712 [D] └:C:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,771 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,771 [D] -:C:n:WD_1:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:41,795 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,796 [D] ┌:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:41,796 [D] └:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,816 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,816 [D] ┌:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:41,816 [D] |:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,816 [D] └:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:41,834 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,835 [D] -:F:n:WD_1:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,849 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,850 [D] ┌:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,850 [D] └:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:41,865 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:41,865 [D] ┌:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:41,865 [D] |:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:41,865 [D] └:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,914 [D] -:C:n:WD_1:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:42,930 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:42,930 [D] ┌:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:42,930 [D] └:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,945 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:42,945 [D] ┌:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:42,945 [D] |:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,945 [D] └:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:42,963 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:42,963 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,979 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:42,979 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,979 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:42,994 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:42,994 [D] ┌:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:42,994 [D] |:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:42,994 [D] └:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 21:27:43,013 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:43,013 [D] -:F:n:WD_1:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:43,031 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:43,031 [D] ┌:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:43,031 [D] └:F:n:WD_2:mbe.c:50	(at logger.py:129) 
2019-02-12 21:27:43,045 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:43,046 [D] ┌:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:43,046 [D] |:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 21:27:43,046 [D] └:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:43,080 [D] -:P:c:WD_1:mbe.c:50	(at logger.py:129) 
2019-02-12 21:27:43,283 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:43,283 [D] -:F:n:WD_1:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:43,724 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:43,724 [D] ┌:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:43,725 [D] └:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 21:27:44,134 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:44,134 [D] ┌:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:44,134 [D] |:F:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 21:27:44,134 [D] └:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 21:27:44,534 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:44,535 [D] -:F:n:WD_1:mbe.c:48	(at logger.py:129) 
2019-02-12 21:27:44,591 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:44,592 [D] ┌:F:n:WD_2:mbe.c:48	(at logger.py:129) 
