2019-03-02 02:04:36,730 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:26	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:25	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:24	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:20	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:18	(at logger.py:129) 
2019-03-02 02:04:36,875 [D]  : : :pass:mug.c:17	(at logger.py:129) 
2019-03-02 02:04:36,876 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:04:36,917 [D] -:C:n:WD_1:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:36,956 [D] ┌:C:n:WD_2:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:36,956 [D] └:C:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:36,989 [D] ┌:C:c:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:04:36,990 [D] |:C:c:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:36,990 [D] └:C:c:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,031 [D] -:C:n:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:37,042 [D] ┌:F:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:37,042 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,056 [D] ┌:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:04:37,056 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,056 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,056 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:04:37,057 [D]  : : :pass:mug.c:12	(at logger.py:129) 
2019-03-02 02:04:37,072 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,085 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,085 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,098 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:04:37,098 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,098 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,109 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,123 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,123 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,123 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:04:37,123 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,135 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,135 [D] -:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,136 [D] -:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:4	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:3	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:04:37,136 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:04:37,136 [D] comp_cached_cnt:3	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] compile_cnt:20	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] execute_cnt:4	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] fail_del_cnt:4	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] iter_idx:3	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] reuse_cnt:2	(at logger.py:134) 
2019-03-02 02:04:37,136 [D] succ_del_cnt:2	(at logger.py:134) 
2019-03-02 02:04:37,137 [D] time:0.40579962730407715	(at logger.py:134) 
2019-03-02 02:04:37,137 [D] deletion:57	(at logger.py:136) 
