2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:31,870 [D] └:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,882 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:31,894 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:31,894 [D] └:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,905 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:31,905 [D] |:F:n:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,905 [D] └:F:n:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:49	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:48	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:47	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:46	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:45	(at logger.py:129) 
2019-03-02 02:05:31,905 [D]  : : :pass:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:31,906 [D]  : : :pass:mug.c:43	(at logger.py:129) 
2019-03-02 02:05:31,906 [D]  : : :pass:mug.c:42	(at logger.py:129) 
2019-03-02 02:05:31,906 [D]  : : :pass:mug.c:41	(at logger.py:129) 
2019-03-02 02:05:31,906 [D]  : : :pass:mug.c:40	(at logger.py:129) 
2019-03-02 02:05:31,920 [D] -:F:n:WD_1:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,932 [D] ┌:F:n:WD_2:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,932 [D] └:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:31,967 [D] ┌:C:c:WD_3:mug.c:39	(at logger.py:129) 
2019-03-02 02:05:31,968 [D] |:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:31,968 [D] └:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,002 [D] -:C:c:WD_1:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:32,014 [D] ┌:F:n:WD_2:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:32,014 [D] └:F:n:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,015 [D] ┌:C:c:WD_3:mug.c:38	(at logger.py:129) 
2019-03-02 02:05:32,015 [D] |:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,015 [D] └:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,025 [D] -:F:n:WD_1:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,060 [D] ┌:C:c:WD_2:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,061 [D] └:C:c:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,096 [D] ┌:C:c:WD_3:mug.c:37	(at logger.py:129) 
2019-03-02 02:05:32,097 [D] |:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,097 [D] └:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,097 [D]  : : :pass:mug.c:36	(at logger.py:129) 
2019-03-02 02:05:32,106 [D] -:F:n:WD_1:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,120 [D] ┌:F:n:WD_2:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,120 [D] └:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,120 [D] ┌:C:c:WD_3:mug.c:35	(at logger.py:129) 
2019-03-02 02:05:32,120 [D] |:C:c:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,120 [D] └:C:c:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,152 [D] -:C:c:WD_1:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,164 [D] ┌:F:n:WD_2:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,164 [D] └:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,174 [D] ┌:F:n:WD_3:mug.c:34	(at logger.py:129) 
2019-03-02 02:05:32,174 [D] |:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,174 [D] └:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,187 [D] -:F:n:WD_1:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,199 [D] ┌:F:n:WD_2:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,199 [D] └:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,210 [D] ┌:F:n:WD_3:mug.c:33	(at logger.py:129) 
2019-03-02 02:05:32,211 [D] |:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,211 [D] └:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,246 [D] -:C:c:WD_1:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,257 [D] ┌:F:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,257 [D] └:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,270 [D] ┌:F:n:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:32,271 [D] |:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,271 [D] └:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,283 [D] -:F:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,295 [D] ┌:F:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,295 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,329 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:32,329 [D] |:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,329 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,340 [D] -:F:n:WD_1:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,354 [D] ┌:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,355 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,367 [D] ┌:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:32,367 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,367 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,380 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,390 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,391 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,404 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:32,404 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,404 [D] └:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,404 [D]  : : :pass:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:32,417 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,430 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,430 [D] └:F:n:WD_2:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,466 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:32,466 [D] |:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,467 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,538 [D] -:C:c:WD_1:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,573 [D] ┌:C:c:WD_2:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,573 [D] └:C:c:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,586 [D] ┌:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:32,586 [D] |:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,586 [D] └:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,586 [D] -:C:c:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,598 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,598 [D] └:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,610 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:32,610 [D] |:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,610 [D] └:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,610 [D]  : : :pass:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:32,610 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:32,610 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:32,611 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:32,611 [D]  : : :pass:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:32,611 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,611 [D] └:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] -:C:c:WD_1:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] ┌:C:c:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] └:C:c:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] ┌:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] |:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,612 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:32,612 [D]  : : :pass:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] -:C:c:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] ┌:F:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] ┌:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:32,612 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,613 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:32,613 [D]  : : :pass:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,613 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] └:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] └:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] |:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,614 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,614 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:32,614 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:32,614 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:05:32,614 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] -:F:n:WD_1:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] ┌:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] ┌:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] -:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,615 [D] -:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:32,616 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:32,616 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:32,616 [D] comp_cached_cnt:27	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] compile_cnt:51	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] execute_cnt:1	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] fail_del_cnt:15	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] iter_idx:3	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] reuse_cnt:14	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] succ_del_cnt:0	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] time:0.9449572563171387	(at logger.py:134) 
2019-03-02 02:05:32,616 [D] deletion:37	(at logger.py:136) 
