2019-03-02 02:05:11,936 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:13,924 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,924 [D]  : : :pass:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:13,938 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,938 [D] -:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,939 [D] -:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:13,939 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:13,939 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:13,939 [D] comp_cached_cnt:5	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] compile_cnt:109	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] execute_cnt:14	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] fail_del_cnt:14	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] iter_idx:2	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] reuse_cnt:6	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] succ_del_cnt:6	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] time:2.0146658420562744	(at logger.py:134) 
2019-03-02 02:05:13,939 [D] deletion:28	(at logger.py:136) 
