2019-03-02 02:06:16,747 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:06:17,642 [D] └:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,654 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:06:17,655 [D] |:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,655 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,689 [D] -:C:c:WD_1:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,702 [D] ┌:F:n:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,702 [D] └:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,712 [D] ┌:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:06:17,712 [D] |:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,712 [D] └:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,725 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,739 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,739 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,774 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:06:17,774 [D] |:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,774 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,785 [D] -:F:n:WD_1:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,795 [D] ┌:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,796 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,808 [D] ┌:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:06:17,808 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,808 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,820 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,831 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,831 [D] └:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,848 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:06:17,848 [D] |:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,849 [D] └:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,849 [D]  : : :pass:mug.c:26	(at logger.py:129) 
2019-03-02 02:06:17,862 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,876 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,876 [D] └:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,888 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:06:17,888 [D] |:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,888 [D] └:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,889 [D] -:C:c:WD_1:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,903 [D] ┌:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,903 [D] └:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,915 [D] ┌:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:06:17,915 [D] |:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,915 [D] └:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,915 [D]  : : :pass:mug.c:23	(at logger.py:129) 
2019-03-02 02:06:17,915 [D]  : : :pass:mug.c:22	(at logger.py:129) 
2019-03-02 02:06:17,915 [D]  : : :pass:mug.c:21	(at logger.py:129) 
2019-03-02 02:06:17,916 [D]  : : :pass:mug.c:20	(at logger.py:129) 
2019-03-02 02:06:17,916 [D]  : : :pass:mug.c:19	(at logger.py:129) 
2019-03-02 02:06:17,916 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,916 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,916 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,917 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:06:17,917 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,917 [D] └:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,917 [D] -:C:c:WD_1:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,917 [D] ┌:C:c:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,918 [D] └:C:c:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,918 [D] ┌:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:06:17,918 [D] |:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,918 [D] └:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,918 [D]  : : :pass:mug.c:16	(at logger.py:129) 
2019-03-02 02:06:17,918 [D]  : : :pass:mug.c:15	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] -:C:c:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] ┌:F:n:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] └:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] ┌:F:n:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] |:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,919 [D] └:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,920 [D]  : : :pass:mug.c:13	(at logger.py:129) 
2019-03-02 02:06:17,920 [D]  : : :pass:mug.c:12	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,920 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] └:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,921 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] └:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] |:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,922 [D]  : : :pass:mug.c:8	(at logger.py:129) 
2019-03-02 02:06:17,922 [D]  : : :pass:mug.c:7	(at logger.py:129) 
2019-03-02 02:06:17,922 [D]  : : :pass:mug.c:6	(at logger.py:129) 
2019-03-02 02:06:17,922 [D]  : : :pass:mug.c:5	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] -:F:n:WD_1:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,922 [D] ┌:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] ┌:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] └:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] -:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] -:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:06:17,923 [D]  : : :pass:mug.c:2	(at logger.py:129) 
2019-03-02 02:06:17,923 [D]  : : :pass:mug.c:1	(at logger.py:129) 
2019-03-02 02:06:17,923 [D] comp_cached_cnt:27	(at logger.py:134) 
2019-03-02 02:06:17,923 [D] compile_cnt:51	(at logger.py:134) 
2019-03-02 02:06:17,923 [D] execute_cnt:3	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] fail_del_cnt:15	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] iter_idx:3	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] reuse_cnt:12	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] succ_del_cnt:0	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] time:1.176828145980835	(at logger.py:134) 
2019-03-02 02:06:17,924 [D] deletion:37	(at logger.py:136) 
